voca_type,unique_id,day,day_no,word,meaning,english_meaning,pos,theme,theme_ko,priority_score,priority_band,rating,example,translation,paraphrase,paraphrase_translation,question,question_ko,collocation,collocations_json,collocations_ko_json,synonym_used,synonyms_json,phrase,memory_ko,icon,background,original_day,original_no,dataset_version,app_ready,QC2_Status,QC2_Score,QC2_Grade,pattern_recommended,pattern_ko_recommended,QC_Score,QC_Grade,QC_Issues,QC_Status,pattern_candidate_1,pattern_ko_candidate_1,pattern_candidate_2,pattern_ko_candidate_2,pattern_candidate_3,pattern_ko_candidate_3,generation_task,pattern_category,generation_word_sense,generation_context,generation_length_target,generation_structure,QC2_Issue,practice_sentence_ids,practice_sentences_en,practice_sentences_ko,practice_sentence_types,practice_situations,practice_review_words,record_type,practice_id,practice_order,practice_type,practice_situation,practice_sentence_en,practice_sentence_ko,practice_target_words,practice_target_word_meanings,practice_target_patterns,practice_pattern_meanings,practice_opic_level,practice_active,practice_extra_patterns,practice_extra_pattern_meanings,practice_extra_pattern_surfaces,practice_target_word_ko_surfaces,practice_target_pattern_ko_surfaces,practice_extra_pattern_ko_surfaces,practice_target_pattern_ko_segments,practice_extra_pattern_ko_segments,practice_patterns
TOEFL,T_D01_01,1,1,account for,"1. 설명하다, 이유를 대다 / 2. 차지하다, 구성하다 / 3. 원인이 되다","1. explain, justify, give a reason for / 2. make up, comprise, constitute / 3. cause",phr.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,100,Core,5,The bottom line is that he can't account for it.,요점은 그가 그것을 설명할 수 없다는 것이다.,He cannot explain it.,그는 그것을 설명할 수 없다.,Who can't account for it?,누가 그것을 설명할 수 없나요?,account for the delay,"[""account for the delay"",""account for the difference""]","[""지연을 설명하다"",""차이를 설명하다""]",yes,"[""explain"",""justify""]",,무엇의 이유를 설명할 때 쓰는 표현이다.,,,1,2,TOEFL_30x56_FINAL,yes,PASS,95,A,The bottom line is (that) ...,결론은 ~라는 것이다,95,A,,PASS,Don't make me ...,,What's up with ...?,,I'm fed up with ...,,create example,,"설명하다, 이유를 대다",Daily Life,10,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_02,1,2,no wonder,"놀랄 일이 아니다, 그럴 만하다","unsurprisingly, unsurprising",phr.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,100,Core,5,No one would say 'no wonder' in that situation.,그런 상황에서 'no wonder'라고 말할 사람은 없다.,People wouldn't say 'no wonder' then.,사람들은 그때 'no wonder'라고 말하지 않을 것이다.,Would anyone say 'no wonder' there?,거기서 누가 'no wonder'라고 말하겠어요?,no wonder + clause,"[""no wonder + clause"",""no wonder she left""]","[""~라서 놀랄 일이 아니다"",""그가 떠난 것도 당연하다""]",yes,"[""unsurprising"",""not surprising""]",,'놀랄 일이 아니다'라는 뜻으로 외운다.,,,1,57,TOEFL_30x56_FINAL,yes,PASS,95,A,No one would ...,아무도 ~하지 않을 것이다,95,A,,PASS,No one would ...,,There's no way ...,,There's no excuse for ...,,create example,,"놀랄 일이 아니다, 그럴 만하다",Business,9,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_03,1,3,depend on,"~에 의존하다, ~에 달려 있다","rely on, count on",phr.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,99,Core,5,I see it depends on the weather.,"알겠어, 그건 날씨에 달려 있다.",It depends on the weather.,그것은 날씨에 달려 있다.,What does it depend on?,그것은 무엇에 달려 있나요?,depend on the weather,"[""depend on someone"",""depend on the weather""]","[""~에 의존하다"",""날씨에 달려 있다""]",yes,"[""rely on"",""count on""]",,depend on = ~에 달려 있다.,,,1,21,TOEFL_30x56_FINAL,yes,PASS,95,A,I see ...,알겠어 / 그렇군요,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,"~에 달려 있다, ~에 의존하다",Travel,7,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_04,1,4,impressive,"인상적인, 대단한","striking, remarkable",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,89,Core,5,I'll be sure to mention how impressive the cake was.,나는 그 케이크가 얼마나 인상적이었는지 꼭 말할게.,I'll mention that the cake was impressive.,나는 그 케이크가 인상적이었다고 말할 것이다.,Will you mention the cake?,케이크에 대해 말해줄 건가요?,impressive performance,"[""impressive performance"",""impressive result"",""truly impressive""]","[""인상적인 공연"",""인상적인 결과"",""정말 인상적인""]",yes,"[""remarkable"",""striking""]",,impressive = 인상 깊은.,,,1,28,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll be sure to ...,반드시 ~할게요,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,"인상적인, 대단한",Family & Friends,10,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_05,1,5,mean,"의미하다, 나타내다; 평균","1. signify, express, indicate / 2. average",v./n.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,85,Core,5,I'll let you know what 'mean' means.,제가 'mean'이 무엇을 의미하는지 알려드릴게요.,I'll explain the meaning of 'mean'.,'mean'의 뜻을 설명할게요.,Do you know what 'mean' means?,'mean'이 무슨 뜻인지 아세요?,mean something,"[""mean something"",""what does mean mean""]","[""무언가를 의미하다"",""mean이 무슨 뜻인가""]",yes,"[""signify"",""indicate""]",,'mean'은 '뜻하다'로 기억한다.,,,1,52,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll let you know ...,~을 알려줄게요,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,"의미하다, 나타내다",Shopping & Services,7,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_06,1,6,eliminate,"없애다, 제거하다","get rid of, remove, discard",v.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,82,Core,5,What's the point of eliminating tiny mistakes?,사소한 실수를 제거하는 게 무슨 의미가 있나?,Why eliminate small mistakes?,왜 작은 실수를 없애야 하나?,Why eliminate those mistakes?,그 실수들을 왜 없애죠?,eliminate errors,"[""eliminate errors"",""eliminate the possibility""]","[""오류를 제거하다"",""가능성을 없애다""]",yes,"[""remove"",""get rid of""]",,eliminate = 제거하다.,,,1,36,TOEFL_30x56_FINAL,yes,PASS,95,A,What's the point of ...?,~해 봤자 무슨 소용이야?,95,A,,PASS,I don't get ...,,You of all people ...,,What's the point of ...?,,create example,,"없애다, 제거하다",School & Learning,7,question,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_07,1,7,pinpoint,정확히 찾아내다; 정확한,"1. locate exactly, clearly identify / 2. precise, exact, accurate",v./adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,82,Core,4,That's exactly what will help pinpoint the problem.,바로 그게 문제를 정확히 찾아내는 데 도움이 될 것이다.,That will help pinpoint the problem.,그것이 문제를 정확히 찾아내는 데 도움이 될 것이다.,Will that pinpoint the problem?,그것이 문제를 찾아낼까요?,pinpoint the cause,"[""pinpoint the cause"",""pinpoint the location""]","[""원인을 정확히 찾아내다"",""위치를 정확히 찾다""]",yes,"[""identify exactly"",""locate exactly""]",,pinpoint = 정확히 찾아내다.,,,1,7,TOEFL_30x56_FINAL,yes,PASS,95,A,That's exactly what ...,바로 그게 ~이다,95,A,,PASS,That's exactly what ...,,I'll see ...,,I'll be sure to ...,,create example,,정확히 찾아내다,Daily Life,8,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_08,1,8,compensate for,"보상하다; 상쇄하다, 보완하다","1. make up for, atone for, make amends for / 2. balance, offset",phr.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,81,Core,4,There's no excuse for failing to compensate for damages.,피해를 보상하지 않는 것은 용납할 수 없다.,Failing to compensate is inexcusable.,보상하지 않는 것은 용서할 수 없다.,Is failing to compensate acceptable?,보상하지 않는 것이 괜찮나요?,compensate for damages,"[""compensate for damages"",""compensate for the loss""]","[""손해를 보상하다"",""손실을 보상하다""]",yes,"[""make up for"",""offset""]",,compensate for = 보상하다.,,,1,13,TOEFL_30x56_FINAL,yes,PASS,95,A,There's no excuse for ...,~은 변명의 여지가 없다,95,A,,PASS,Don't make me ...,,What's up with ...?,,I'm fed up with ...,,create example,,"보상하다, 상쇄하다",Business,9,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_09,1,9,deliberate,"의도적인, 계획적인; 신중한","1. intentional, designed, planned / 2. careful, cautious, thoughtful",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,80,Core,4,That's where deliberate planning saved the whole project.,바로 그때 의도적인 계획이 프로젝트를 살렸다.,Intentional planning prevented the project's failure.,의도적인 계획 덕분에 프로젝트가 실패를 면했다.,Did deliberate planning save the project?,의도적인 계획이 프로젝트를 구했나요?,deliberate planning,"[""deliberate planning"",""deliberate decision""]","[""의도적인 계획"",""의도적인 결정""]",intentional,"[""intentional"",""planned"",""purposeful""]",,의도적으로 계획하면 문제가 줄어든다.,,Technology context: project management.,1,20,TOEFL_30x56_FINAL,YES,PASS,95,A,That's where ...,바로 그곳이 ...이다,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create a natural example sentence using the selected pattern and sense.,Explanation,의도적이고 계획적인,Technology,8,explanation,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_10,1,10,neglect,"무시하다, 소홀히 하다","1. ignore, disregard / 2. fail, forget",v.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,80,Core,4,I'm not used to neglecting my hobbies anymore.,나는 더 이상 취미를 소홀히 하지 않는다.,I normally don't neglect my hobbies.,나는 보통 취미를 소홀히 하지 않는다.,Do you neglect your hobbies?,취미를 소홀히 하나요?,neglect responsibilities,"[""neglect duties"",""neglect responsibilities""]","[""의무를 소홀히 하다"",""책임을 소홀히 하다""]",yes,"[""ignore"",""overlook""]",,neglect = 소홀히 하다.,,,1,42,TOEFL_30x56_FINAL,yes,PASS,95,A,I'm not used to ...ing,~하는 것에 익숙하지 않다,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,"무시하다, 소홀히 하다",Hobbies,8,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
